uri,cid,unittitle,unitdate,containers
/repositories/4/archival_objects/1444535,AC187_c00080,1972-1987,1972-1987,box 10 folder 4-5 
/repositories/4/archival_objects/1445722,AC187_c00082,1979-1984,1979-1984,box 10 folder 6-7 
/repositories/4/archival_objects/1445723,AC187_c00083,Meetings,1980-1985,box 11 folder 1-4 
/repositories/4/archival_objects/1445724,AC187_c00084,Seeger Fund and Meeting,1987,box 11 folder 5 
/repositories/4/archival_objects/1442652,AC187_c00085,Comparative Literature,1974-1987,box 11 folder 6-7 
/repositories/4/archival_objects/1444537,AC187_c00087,1973-1987,1973-1987,box 11 folder 8-11 
/repositories/4/archival_objects/1444538,AC187_c00088,Chinese Studies Program,1974-1986,box 12 folder 1-2 
/repositories/4/archival_objects/1444539,AC187_c00089,Japanese Studies Program,1973-1981,box 12 folder 3-4 
/repositories/4/archival_objects/1444540,AC187_c00090,Korean Studies Program,1984-1986,box 12 folder 5 
/repositories/4/archival_objects/1444541,AC187_c00092,1972-1984,1972-1984,box 12 folder 6-9 
/repositories/4/archival_objects/1444542,AC187_c00093,1985-1987,1985-1987,box 13 folder 1 
/repositories/4/archival_objects/1444543,AC187_c00094,"Chair in Economics and Banking, Class of 1920",1966-1977,box 13 folder 2 
/repositories/4/archival_objects/1444544,AC187_c00095,Econometric Research Program,1971-1984,box 13 folder 3 
/repositories/4/archival_objects/1444545,AC187_c00096,Financial Research Center,1972-1983,box 13 folder 4 
/repositories/4/archival_objects/1444546,AC187_c00097,Gender Differences in the Graduate Program,1987,box 13 folder 5 
/repositories/4/archival_objects/1445725,AC187_c00099,1972-1987,1972-1987,box 13 folder 6-7 
/repositories/4/archival_objects/1445726,AC187_c00100,History of (by Richard A. Lester),1985,box 13 folder 8 
/repositories/4/archival_objects/1444548,AC187_c00101,International Finance Section,1972-1987,box 13 folder 9-10 
/repositories/4/archival_objects/1444549,AC187_c00103,1972-1984,1972-1984,box 13 folder 11-12 
/repositories/4/archival_objects/1444550,AC187_c00104,1985-1987,1985-1987,box 14 folder 1 
/repositories/4/archival_objects/1444551,AC187_c00106,1972-1987,1972-1987,box 14 folder 2-4 
/repositories/4/archival_objects/1444552,AC187_c00107,Carnegie Institution Affiliation,1983-1986,box 14 folder 5 
/repositories/4/archival_objects/1442657,AC187_c00108,Germanic Languages and Literatures,1972-1987,box 14 folder 6-8 
/repositories/4/archival_objects/1444553,AC187_c00110,1972-1985,1972-1985,box 14 folder 9-11 
/repositories/4/archival_objects/1444554,AC187_c00111,1986-1987,1986-1987,box 15 folder 1 
/repositories/4/archival_objects/1445727,AC187_c00113,1972-1987,1972-1987,box 15 folder 2-3 
/repositories/4/archival_objects/1445728,AC187_c00114,Biographical Dictionary of Princeton Alumni,1970-1984,box 15 folder 4 
/repositories/4/archival_objects/1442659,AC187_c00115,Mathematics,1972-1987,box 15 folder 5-6 
/repositories/4/archival_objects/1444556,AC187_c00117,1982-1984,1982-1984,box 15 folder 7-9 
/repositories/4/archival_objects/1444557,AC187_c00118,1985-1987,1985-1987,box 16 folder 1 
/repositories/4/archival_objects/1444558,AC187_c00119,Bowen Working Papers,1983,box 16 folder 2 
/repositories/4/archival_objects/1444559,AC187_c00120,Review and Dinner,1983-1984,box 16 folder 3 
/repositories/4/archival_objects/1444560,AC187_c00122,1972-1987,1972-1987,box 16 folder 4-7 
/repositories/4/archival_objects/1444561,AC187_c00123,Concert Facilities Correspondence,1973-1975,box 16 folder 8 
/repositories/4/archival_objects/1444562,AC187_c00124,Princeton University Concerts Committee,1972-1987,box 16 folder 9 
/repositories/4/archival_objects/1444563,AC187_c00126,1972-1987,1972-1987,box 17 folder 1-3 
/repositories/4/archival_objects/1444564,AC187_c00127,Hebrew Studies Program (or Jewish Studies Committee),1976-1987,box 17 folder 4 
/repositories/4/archival_objects/1442663,AC187_c00128,Philosophy,1972-1987,box 17 folder 5-7 
/repositories/4/archival_objects/1444565,AC187_c00130,1972-1983,1972-1983,box 17 folder 8-9 
/repositories/4/archival_objects/1444566,AC187_c00131,1984-1987,1984-1987,box 18 folder 1 
/repositories/4/archival_objects/1444567,AC187_c00132,Colonization of Space,1973-1979,box 18 folder 2 
/repositories/4/archival_objects/1444568,AC187_c00133,Cyclotron Use,1975-1982,box 18 folder 3 
/repositories/4/archival_objects/1444569,AC187_c00135,1972-1987,1972-1987,box 18 folder 4-7 
/repositories/4/archival_objects/1445729,AC187_c00137,A-Z (by Name),1986,box 18 folder 8 
/repositories/4/archival_objects/1444571,AC187_c00138,"Wilson, H.H., Courses",1977,box 18 folder 9 
/repositories/4/archival_objects/1444572,AC187_c00140,1972-1982,1972-1982,box 18 folder 10 
