uri,cid,unittitle,unitdate,containers
/repositories/4/archival_objects/1444788,AC187_c00557,T-Z (by Name),1972-1987,box 83 folder 3-4 
/repositories/4/archival_objects/1444789,AC187_c00558,"Volcker, Paul",1984-1986,box 83 folder 5 
/repositories/4/archival_objects/1444790,AC187_c00559,"Webster, Oppit",1979-1983,box 83 folder 6 
/repositories/4/archival_objects/1444791,AC187_c00561,1976-1977,1976-1977,box 83 folder 7 
/repositories/4/archival_objects/1444792,AC187_c00562,A-Z (by Name),1976-1977,box 83 folder 8 
/repositories/4/archival_objects/1444793,AC187_c00563,Bowen Notes,1977,box 83 folder 9 
/repositories/4/archival_objects/1444794,AC187_c00566,1978-1979,1978-1979,box 83 folder 10 
/repositories/4/archival_objects/1444795,AC187_c00567,Advisory Councils,1972-1978,box 83 folder 11 
/repositories/4/archival_objects/1444796,AC187_c00568,"Research in the Humanities and Social Sciences, University Committee on",1972-1981,box 83 folder 12 
/repositories/4/archival_objects/1444797,AC187_c00570,A-Z (by Committee),1972-1987,box 83 folder 13 
/repositories/4/archival_objects/1445818,AC187_c00572,1973-1977,1973-1977,box 83 folder 14 
/repositories/4/archival_objects/1445819,AC187_c00573,1978-1987,1978-1987,box 84 folder 1-2 
/repositories/4/archival_objects/1444799,AC187_c00574,Computing,1984-1985,box 84 folder 3 
/repositories/4/archival_objects/1444800,AC187_c00575,Faculty Retirement Ad Hoc Committee,1980-1983,box 84 folder 4 
/repositories/4/archival_objects/1445820,AC187_c00577,1972-1974,1972-1974,box 84 folder 5-6 
/repositories/4/archival_objects/1445821,AC187_c00578,Size and Composition of the Undergraduate Body,1972-1973,box 84 folder 7 
/repositories/4/archival_objects/1445822,AC187_c00580,1975-1977,1975-1977,box 84 folder 8 
/repositories/4/archival_objects/1445823,AC187_c00581,Final Report,1975,box 84 folder 9 
/repositories/4/archival_objects/1445824,AC187_c00582,Working Paper,1975,box 84 folder 10 
/repositories/4/archival_objects/1444803,AC187_c00583,Governmental Affairs,1981-1987,box 85 folder 1-5 
/repositories/4/archival_objects/1444804,AC187_c00584,Library Acquisitions and Losses,1977,box 85 folder 6 
/repositories/4/archival_objects/1445825,AC187_c00586,1971-1987,1971-1987,box 85 folder 7-9 
/repositories/4/archival_objects/1445826,AC187_c00587,Annual Report,1981,box 86 folder 1 
/repositories/4/archival_objects/1444806,AC187_c00588,"South Africa, Advisory Group on Academic Initiatives in",1985-1986,box 86 folder 2 
/repositories/4/archival_objects/1444807,AC187_c00589,"South Africa, Faculty Ad Hoc Committee on",1985-1986,box 86 folder 3 
/repositories/4/archival_objects/1444808,AC187_c00590,Women and Discrimination in Employment,1980-1981,box 86 folder 4 
/repositories/4/archival_objects/1444809,AC187_c00592,1972-1986,1972-1986,box 86 folder 5-6 
/repositories/4/archival_objects/1444810,AC187_c00593,A-Z (by Committee),1972-1987,box 86 folder 7 
/repositories/4/archival_objects/1445827,AC187_c00595,1972-1977,1972-1977,box 86 folder 8-11 
/repositories/4/archival_objects/1445828,AC187_c00596,1978-1985,1978-1985,box 87 folder 1-4 
/repositories/4/archival_objects/1445829,AC187_c00598,1972-1980,1972-1980,box 87 folder 5-8 
/repositories/4/archival_objects/1445830,AC187_c00599,1981-1987,1981-1987,box 88 folder 1-2 
/repositories/4/archival_objects/1445831,AC187_c00600,Meeting,1982,box 88 folder 3 
/repositories/4/archival_objects/1445832,AC187_c00601,Conference Committee,1972-1979,box 88 folder 4 
/repositories/4/archival_objects/1445833,AC187_c00602,Continuing Education,1974-1978,box 88 folder 5 
/repositories/4/archival_objects/1445834,AC187_c00603,Council of the Princeton University Community (CPUC),1972-1977,box 88 folder 6-10 
/repositories/4/archival_objects/1445835,AC187_c00605,1977-1987,1977-1987,box 89 folder 1-5 
/repositories/4/archival_objects/1445836,AC187_c00606,Minutes,1972-1987,box 89 folder 6-8 
/repositories/4/archival_objects/1445837,AC187_c00607,A-Z (by Committee),1972-1985,box 89 folder 9 
/repositories/4/archival_objects/1446209,AC187_c00609,1972-1976,1972-1976,box 89 folder 10 
/repositories/4/archival_objects/1446210,AC187_c00610,1977-1987,1977-1987,box 90 folder 1-4 
/repositories/4/archival_objects/1446211,AC187_c00611,Minutes,1972-1978,box 90 folder 5-6 
/repositories/4/archival_objects/1445839,AC187_c00612,Governance Committee,1972-1986,box 90 folder 7-10 
/repositories/4/archival_objects/1446212,AC187_c00614,1972-1988,1972-1988,box 91 folder 1-2 
/repositories/4/archival_objects/1446213,AC187_c00615,Moses and Boehlke Case,1972,box 91 folder 3 
/repositories/4/archival_objects/1446214,AC187_c00617,1972-1977,1972-1977,box 91 folder 4-9 
/repositories/4/archival_objects/1446215,AC187_c00618,1978-1987,1978-1987,box 92 folder 1-5 
/repositories/4/archival_objects/1446216,AC187_c00619,Meeting,1974,box 92 folder 6 
/repositories/4/archival_objects/1446217,AC187_c00620,Minutes,1972-1978,box 92 folder 7-8 
/repositories/4/archival_objects/1446326,AC187_c00622,1973-1974,1973-1974,box 92 folder 9 
/repositories/4/archival_objects/1446327,AC187_c00623,1974-1981,1974-1981,box 93 folder 1 
/repositories/4/archival_objects/1446219,AC187_c00625,1973-1987,1973-1987,box 93 folder 2-6 
/repositories/4/archival_objects/1446220,AC187_c00626,Meeting,1977,box 93 folder 7 
/repositories/4/archival_objects/1445843,AC187_c00627,Rights and Rules Committee,1972-1987,box 93 folder 8 
/repositories/4/archival_objects/1446221,AC187_c00629,1979-1980,1979-1980,box 94 folder 1 
/repositories/4/archival_objects/1446222,AC187_c00630,Course of Study,1972-1987,box 94 folder 2-5 
/repositories/4/archival_objects/1446223,AC187_c00631,Discipline,1972-1987,box 94 folder 6-7 
/repositories/4/archival_objects/1446224,AC187_c00632,Examinations and Standing,1972-1987,box 94 folder 8 
/repositories/4/archival_objects/1446225,AC187_c00633,Library,1972-1986,box 94 folder 9 
/repositories/4/archival_objects/1446226,AC187_c00634,Policy,1972-1976,box 94 folder 10-11 
/repositories/4/archival_objects/1445845,AC187_c00636,1977-1987,1977-1987,box 95 folder 1-7 
/repositories/4/archival_objects/1445846,AC187_c00637,Meeting,1975,box 96 folder 1 
/repositories/4/archival_objects/1445847,AC187_c00638,Schedule Committee,1972-1985,box 96 folder 2 
/repositories/4/archival_objects/1445848,AC187_c00639,Undergraduate Admission and Financial Aid,1972-1985,box 96 folder 3 
/repositories/4/archival_objects/1445849,AC187_c00640,Undergraduate Life Committee,1972-1983,box 96 folder 4-5 
/repositories/4/archival_objects/1442764,AC187_c00642,1987,1987,box 96 folder 6 
/repositories/4/archival_objects/1442765,AC187_c00643,A-L (by Name),1972-1987,box 96 folder 7 
/repositories/4/archival_objects/1442766,AC187_c00644,M-Z (by Name),1972-1985,box 96 folder 8 
/repositories/4/archival_objects/1442767,AC187_c00645,"Administrative Affairs, Vice President for",1974-1987,box 96 folder 9 
/repositories/4/archival_objects/1442768,AC187_c00646,Administrative Services and Information Systems,1973-1985,box 96 folder 10 
/repositories/4/archival_objects/1444815,AC187_c00648,1972,1972,box 96 folder 11 
/repositories/4/archival_objects/1444816,AC187_c00649,1973-1979,1973-1979,box 97 folder 1-6 
/repositories/4/archival_objects/1444817,AC187_c00650,1979-1986,1979-1986,box 98 folder 1-6 
/repositories/4/archival_objects/1444818,AC187_c00651,1986,1986,box 99 folder 1 
/repositories/4/archival_objects/1444819,AC187_c00652,Annual Report,1971-1972,box 99 folder 2 
/repositories/4/archival_objects/1445850,AC187_c00654,A (by Name),1972-1987,box 99 folder 3-5 
/repositories/4/archival_objects/1445851,AC187_c00655,B (by Name),1972-1987,box 99 folder 6-8 
/repositories/4/archival_objects/1445852,AC187_c00656,C (by Name),1972-1987,box 100 folder 1-3 
/repositories/4/archival_objects/1445853,AC187_c00657,D-E (by Name),1972-1987,box 100 folder 4-6 
/repositories/4/archival_objects/1445854,AC187_c00658,F (by Name),1972-1984,box 100 folder 7-8 
/repositories/4/archival_objects/1446227,AC187_c00660,1972-1985,1972-1985,box 100 folder 9-10 
/repositories/4/archival_objects/1446228,AC187_c00661,1985-1987,1985-1987,box 101 folder 1 
/repositories/4/archival_objects/1445856,AC187_c00662,H-I (by Name),1972-1987,box 101 folder 2-4 
/repositories/4/archival_objects/1445857,AC187_c00663,J (by Name),1972-1986,box 101 folder 5-6 
/repositories/4/archival_objects/1445858,AC187_c00664,K (by Name),1972-1984,box 101 folder 7-8 
/repositories/4/archival_objects/1445859,AC187_c00665,L (by Name),1972-1984,box 101 folder 9-10 
/repositories/4/archival_objects/1445860,AC187_c00666,"Love, Howard",1977-1980,box 102 folder 1 
/repositories/4/archival_objects/1445861,AC187_c00667,M-Mc (by Name),1972-1987,box 102 folder 2-4 
/repositories/4/archival_objects/1445862,AC187_c00668,"McHugh, Christopher",1985-1987,box 102 folder 5 
/repositories/4/archival_objects/1445863,AC187_c00669,Me-My (by Name),1972-1987,box 102 folder 6-8 
/repositories/4/archival_objects/1445864,AC187_c00670,"Minshew, Lisa M",1984,box 102 folder 9 
/repositories/4/archival_objects/1445865,AC187_c00671,N-O (by Name),1972-1987,box 102 folder 10-12 
/repositories/4/archival_objects/1446229,AC187_c00673,1972-1984,1972-1984,box 102 folder 13-14 
/repositories/4/archival_objects/1446230,AC187_c00674,1985-1987,1985-1987,box 103 folder 1 
/repositories/4/archival_objects/1445867,AC187_c00675,Q-R (by Name),1972-1987,box 103 folder 2-4 
/repositories/4/archival_objects/1445868,AC187_c00676,"Roberts, Douglass",1979,box 103 folder 5 
/repositories/4/archival_objects/1445869,AC187_c00677,S (by Name),1976-1987,box 103 folder 6-9 
/repositories/4/archival_objects/1445870,AC187_c00678,"Shihabi, Ali",1977,box 103 folder 10 
/repositories/4/archival_objects/1445871,AC187_c00679,"Swartz, Addi-Lyn",1978,box 103 folder 11 
/repositories/4/archival_objects/1445872,AC187_c00680,T-V (by Name),1972-1987,box 104 folder 1-3 
/repositories/4/archival_objects/1445873,AC187_c00681,"Turnbull, Albert",1981,box 104 folder 4 
/repositories/4/archival_objects/1445874,AC187_c00682,W (by Name),1972-1987,box 104 folder 5-7 
/repositories/4/archival_objects/1445875,AC187_c00683,"Woodhouse, Hope",1974-1976,box 104 folder 8 
/repositories/4/archival_objects/1445876,AC187_c00684,X-Z (by Name),1972-1987,box 104 folder 9-11 
/repositories/4/archival_objects/1444821,AC187_c00685,Bulletins,1972-1978,box 104 folder 12 
/repositories/4/archival_objects/1445877,AC187_c00687,1970-1976,1970-1976,box 104 folder 13-14 
/repositories/4/archival_objects/1446231,AC187_c00689,1973-1986,1973-1986,box 105 folder 1-3 
/repositories/4/archival_objects/1446232,AC187_c00690,A-P (by Name),1974,box 105 folder 4 
/repositories/4/archival_objects/1446233,AC187_c00691,Q-Z (by Name),1974,box 105 folder 5 
/repositories/4/archival_objects/1445879,AC187_c00692,Male-Female Ratio,1986,box 105 folder 6 
/repositories/4/archival_objects/1445880,AC187_c00693,Planning,1970-1972,box 105 folder 7 
/repositories/4/archival_objects/1445881,AC187_c00695,1978-1983,1978-1983,box 105 folder 8 
/repositories/4/archival_objects/1445882,AC187_c00696,A-Z (by Name),1978,box 105 folder 9 
/repositories/4/archival_objects/1445883,AC187_c00697,"Tellander, Robert",1978,box 105 folder 10 
/repositories/4/archival_objects/1444824,AC187_c00698,Miller and Oregon Schools Committee,1978,box 105 folder 11 
/repositories/4/archival_objects/1444825,AC187_c00699,Princeton Scholars Program,1986-1988,box 105 folder 12 
/repositories/4/archival_objects/1444826,AC187_c00700,Yield Survey,1986-1987,box 105 folder 13 
/repositories/4/archival_objects/1444827,AC187_c00702,1972-1974,1972-1974,box 105 folder 14 
/repositories/4/archival_objects/1444828,AC187_c00703,1975-1987,1975-1987,box 106 folder 1-3 
/repositories/4/archival_objects/1444829,AC187_c00704,Statistics,1975-1984,box 106 folder 4 
/repositories/4/archival_objects/1442771,AC187_c00705,Communications,1973-1987,box 106 folder 5-6 
/repositories/4/archival_objects/1444830,AC187_c00707,Vice President,1985-1987,box 106 folder 7 
/repositories/4/archival_objects/1444831,AC187_c00709,1972-1987,1972-1987,box 106 folder 8-10 
/repositories/4/archival_objects/1444832,AC187_c00710,Security Lending,1983,box 106 folder 11 
/repositories/4/archival_objects/1444833,AC187_c00712,1972-1987,1972-1987,box 107 folder 1-3 
/repositories/4/archival_objects/1446234,AC187_c00715,1977,1977,box 107 folder 4 
/repositories/4/archival_objects/1446235,AC187_c00716,A-Z (by Name),1977,box 107 folder 5 
/repositories/4/archival_objects/1445885,AC187_c00717,1986,1986-1987,box 107 folder 6 
/repositories/4/archival_objects/1444835,AC187_c00719,1972-1986,1972-1986,box 107 folder 7-9 
/repositories/4/archival_objects/1444836,AC187_c00720,Statistics,1985,box 107 folder 10 
/repositories/4/archival_objects/1444837,AC187_c00722,1972-1973,1972-1973,box 107 folder 11 
/repositories/4/archival_objects/1444838,AC187_c00723,1974-1987,1974-1987,box 108 folder 1-4 
/repositories/4/archival_objects/1446236,AC187_c00726,1977-1982,1977-1982,box 108 folder 5 
/repositories/4/archival_objects/1446237,AC187_c00727,A-Z (by Name),1977,box 108 folder 6 
/repositories/4/archival_objects/1445887,AC187_c00728,1982,1982,box 108 folder 7 
/repositories/4/archival_objects/1444840,AC187_c00730,1972-1984,1972-1984,box 108 folder 8-9 
/repositories/4/archival_objects/1444841,AC187_c00731,1985-1987,1985-1987,box 109 folder 1 
/repositories/4/archival_objects/1444842,AC187_c00732,Vice President Search,1979-1980,box 109 folder 2 
/repositories/4/archival_objects/1442778,AC187_c00733,Events Office,1976-1980,box 109 folder 3 
/repositories/4/archival_objects/1442779,AC187_c00734,Financial Vice President,1972-1987,box 109 folder 4 
/repositories/4/archival_objects/1444843,AC187_c00736,(Dormitory and Food Services),1972-1987,box 109 folder 5-7 
/repositories/4/archival_objects/1444844,AC187_c00737,Inquiry,1971-1977,box 109 folder 8-9 
/repositories/4/archival_objects/1444845,AC187_c00738,Strike,1979,box 110 folder 1 
/repositories/4/archival_objects/1444846,AC187_c00740,1972-1987,1972-1987,box 110 folder 2-4 
/repositories/4/archival_objects/1444847,AC187_c00741,Directorship,1976-1981,box 110 folder 5 
/repositories/4/archival_objects/1444848,AC187_c00742,Occupational Health and Safety Committee,1972-1983,box 110 folder 6-8 
/repositories/4/archival_objects/1444849,AC187_c00743,"Sex Education, Counseling, and Health (SECH) Program",1972-1983,box 110 folder 9-10 
/repositories/4/archival_objects/1445888,AC187_c00745,A-L (by Name),1973,box 111 folder 1 
/repositories/4/archival_objects/1445889,AC187_c00746,M-Z (by Name),1973,box 111 folder 2 
/repositories/4/archival_objects/1445890,AC187_c00747,NBC Report,1979,box 111 folder 3 
/repositories/4/archival_objects/1444851,AC187_c00749,1972-1987,1972-1987,box 111 folder 4-5 
/repositories/4/archival_objects/1444852,AC187_c00750,Advisory Council on,1975-1981,box 111 folder 6 
/repositories/4/archival_objects/1444853,AC187_c00752,"(Planning, Plant, and Properties)",1972-1985,box 111 folder 7-8 
/repositories/4/archival_objects/1444854,AC187_c00753,Monthly Reports,1972-1977,box 111 folder 9-10 
/repositories/4/archival_objects/1444855,AC187_c00755,1971-1987,1971-1987,box 112 folder 1-2 
/repositories/4/archival_objects/1445891,AC187_c00757,Faculty Suggestions,1971,box 112 folder 3 
/repositories/4/archival_objects/1445892,AC187_c00758,A-Z (by Name),1975,box 112 folder 4 
/repositories/4/archival_objects/1445893,AC187_c00759,1977,1977,box 112 folder 5 
/repositories/4/archival_objects/1445894,AC187_c00760,A-Z (by Name),1977,box 112 folder 6 
/repositories/4/archival_objects/1446238,AC187_c00762,A-C (by Name),1977,box 112 folder 7 
/repositories/4/archival_objects/1446239,AC187_c00763,D-H (by Name),1977,box 112 folder 8 
/repositories/4/archival_objects/1446240,AC187_c00764,I-M (by Name),1977,box 112 folder 9 
/repositories/4/archival_objects/1446241,AC187_c00765,N-R (by Name),1977,box 113 folder 1 
/repositories/4/archival_objects/1446242,AC187_c00766,S-Z (by Name),1977,box 113 folder 2 
/repositories/4/archival_objects/1445896,AC187_c00767,1987,1987,box 113 folder 3 
/repositories/4/archival_objects/1444857,AC187_c00768,Trustee Briefing Document,1984,box 113 folder 4 
/repositories/4/archival_objects/1442785,AC187_c00769,"Public Affairs, Vice President for",1985-1987,box 113 folder 5 
/repositories/4/archival_objects/1444858,AC187_c00771,1972-1987,1972-1987,box 113 folder 6 
/repositories/4/archival_objects/1444859,AC187_c00772,A-M (by Name or Place),1972-1987,box 113 folder 7 
/repositories/4/archival_objects/1444860,AC187_c00773,N-Z (by Name or Place),1972-1976,box 113 folder 8 
/repositories/4/archival_objects/1444861,AC187_c00774,Broadmead,1974-1980,box 113 folder 9 
/repositories/4/archival_objects/1444862,AC187_c00775,Butler Tract,1980-1984,box 113 folder 10 
/repositories/4/archival_objects/1444863,AC187_c00776,Development Advisory Board,1973,box 113 folder 11 
/repositories/4/archival_objects/1445897,AC187_c00778,1971-1973,1971-1973,box 113 folder 12 
/repositories/4/archival_objects/1445898,AC187_c00779,1974-1985,1974-1985,box 114 folder 1-3 
/repositories/4/archival_objects/1445899,AC187_c00780,Brochures and Fact Sheets,1974-1976,box 114 folder 4 
/repositories/4/archival_objects/1445900,AC187_c00781,Conference Center,1977-1985,box 114 folder 5 
/repositories/4/archival_objects/1445901,AC187_c00782,Housing Project,1976-1979,box 114 folder 6 
/repositories/4/archival_objects/1445902,AC187_c00783,"Johnson, Robert Wood Foundation",1978-1986,box 114 folder 7 
/repositories/4/archival_objects/1445903,AC187_c00784,Merrill Lynch,1981-1983,box 115 folder 1 
/repositories/4/archival_objects/1445904,AC187_c00785,Oxirane,1977-1980,box 115 folder 2 
/repositories/4/archival_objects/1445905,AC187_c00786,Prudential Insurance,1975-1987,box 115 folder 3 
/repositories/4/archival_objects/1445906,AC187_c00787,Standard and Emergency Procedure For Safeguarding Classified Information,1976,box 115 folder 4 
/repositories/4/archival_objects/1445907,AC187_c00788,"Sweet, Kenneth, Associates",1976-1982,box 115 folder 5 
/repositories/4/archival_objects/1445908,AC187_c00789,Village (Toombs Project),1985-1986,box 115 folder 6 
/repositories/4/archival_objects/1444865,AC187_c00790,Gray Farm,1972-1986,box 115 folder 7-8 
/repositories/4/archival_objects/1444866,AC187_c00791,Planning Review,1972-1973,box 115 folder 9 
/repositories/4/archival_objects/1444867,AC187_c00792,Pretty Brook Property,1972-1985,box 115 folder 10 
/repositories/4/archival_objects/1444868,AC187_c00793,Princeton Nurseries,1983-1987,box 115 folder 11 
/repositories/4/archival_objects/1444869,AC187_c00794,Princeton Railroad Station Property,1976-1987,box 115 folder 12 
/repositories/4/archival_objects/1444870,AC187_c00795,St. Joseph's Seminary Property,1983-1984,box 116 folder 1 
/repositories/4/archival_objects/1444871,AC187_c00797,1973-1987,1973-1987,box 116 folder 2-4 
/repositories/4/archival_objects/1444872,AC187_c00798,Academic Calendar,1972-1987,box 116 folder 5-6 
/repositories/4/archival_objects/1442788,AC187_c00799,Secretary's Office,1972-1987,box 116 folder 7 
/repositories/4/archival_objects/1444873,AC187_c00801,1972-1987,1972-1987,box 116 folder 8-9 
/repositories/4/archival_objects/1445909,AC187_c00803,1972-1987,1972-1987,box 117 folder 1 
/repositories/4/archival_objects/1445910,AC187_c00804,A-Z (by Name),1974-1978,box 117 folder 2 
/repositories/4/archival_objects/1444875,AC187_c00805,Director Search,1975,box 117 folder 3 
/repositories/4/archival_objects/1442790,AC187_c00806,Special Educational Programs,1974-1976,box 117 folder 4 
/repositories/4/archival_objects/1442791,AC187_c00807,Teacher Preparation and Placement,1972-1986,box 117 folder 5-6 
/repositories/4/archival_objects/1442792,AC187_c00808,Treasurer,1972-1987,box 117 folder 7 
/repositories/4/archival_objects/1442793,AC187_c00809,Undergraduate Financial Aid,1977-1983,box 117 folder 8 
/repositories/4/archival_objects/1444876,AC187_c00811,Annual Report,1983-1984,box 117 folder 9-10 
/repositories/4/archival_objects/1442795,AC187_c00812,Vice President for Facilities,1973-1978,box 117 folder 11 
/repositories/4/archival_objects/1444877,AC187_c00814,1972-1983,1972-1983,box 117 folder 12 
/repositories/4/archival_objects/1445911,AC187_c00816,A-Z (by Name),1977,box 117 folder 13 
/repositories/4/archival_objects/1444879,AC187_c00818,Director of Communication,1974-1975,box 117 folder 14 
/repositories/4/archival_objects/1442798,AC187_c00820,1972-1987,1972-1987,box 118 folder 1-2 
/repositories/4/archival_objects/1444880,AC187_c00822,"Christie, Charles E., v. Princeton",1984-1985,box 118 folder 3 
/repositories/4/archival_objects/1444881,AC187_c00823,Clayton v. Princeton,1979-1985,box 118 folder 4 
/repositories/4/archival_objects/1444882,AC187_c00824,"Frank, Sally, v. Princeton",1980-1986,box 118 folder 5-6 
/repositories/4/archival_objects/1444883,AC187_c00825,Jones v. Princeton,1983,box 118 folder 7 
/repositories/4/archival_objects/1444884,AC187_c00826,Pepper v. Princeton,1974-1978,box 118 folder 8 
/repositories/4/archival_objects/1444885,AC187_c00827,"Ruble, Diane, v. Princeton",1979-1982,box 118 folder 9 
/repositories/4/archival_objects/1445912,AC187_c00829,1978-1981,1978-1981,box 118 folder 10 
/repositories/4/archival_objects/1445913,AC187_c00830,1980-1982,1980-1982,box 119 folder 1-2 
/repositories/4/archival_objects/1445914,AC187_c00831,AAUP Brief and Princeton Brief,1981,box 119 folder 3 
/repositories/4/archival_objects/1444887,AC187_c00832,"Vinje-Morpurgo, Anna Selma, v. Princeton",1976-1978,box 119 folder 4 
/repositories/4/archival_objects/1444888,AC187_c00834,A-G (by Name of Bill),1972-1977,box 119 folder 5 
/repositories/4/archival_objects/1444889,AC187_c00835,H-Z (by Name of Bill),1972-1987,box 119 folder 6 
/repositories/4/archival_objects/1444890,AC187_c00836,Age Discrimination Act,1977-1982,box 119 folder 7-8 
/repositories/4/archival_objects/1444891,AC187_c00837,Civil Rights Act of 1964,1973-1981,box 120 folder 1 
/repositories/4/archival_objects/1444892,AC187_c00838,College Opportunity Act,1978-1979,box 120 folder 2 
/repositories/4/archival_objects/1444893,AC187_c00839,Copyrights Revision Bill,1972-1981,box 120 folder 3 
/repositories/4/archival_objects/1444894,AC187_c00840,Family Educational Rights and Privacy Act of 1974,1974-1979,box 120 folder 4-5 
/repositories/4/archival_objects/1445915,AC187_c00842,1972-1980,1972-1980,box 120 folder 6-10 
/repositories/4/archival_objects/1445916,AC187_c00843, I,1974-1981,box 121 folder 1 
/repositories/4/archival_objects/1445917,AC187_c00844, III,1973-1986,box 121 folder 2 
/repositories/4/archival_objects/1445918,AC187_c00845, IV,1973-1985,box 121 folder 3-4 
/repositories/4/archival_objects/1445919,AC187_c00846, VI,1972-1982,box 121 folder 5-6 
/repositories/4/archival_objects/1445920,AC187_c00847, VII,1979-1980,box 121 folder 7 
/repositories/4/archival_objects/1446243,AC187_c00849,1972-1976,1972-1976,box 121 folder 8 
/repositories/4/archival_objects/1446244,AC187_c00850,1977-1985,1977-1985,box 122 folder 1 
/repositories/4/archival_objects/1446245,AC187_c00851,Athletic Program,1978-1980,box 122 folder 2-4 
/repositories/4/archival_objects/1446246,AC187_c00852,Graduate Education,1977-1984,box 122 folder 5 
/repositories/4/archival_objects/1446247,AC187_c00854,State Relations,1979-1980,box 122 folder 6 
/repositories/4/archival_objects/1444896,AC187_c00855,Humanities Grant,1984-1985,box 122 folder 7 
/repositories/4/archival_objects/1444897,AC187_c00856,"Independent Colleges, State Aid to",1971-1976,box 122 folder 8-9 
/repositories/4/archival_objects/1444898,AC187_c00857,Independent College and University Assistance Act,1978-1984,box 122 folder 10 
/repositories/4/archival_objects/1445923,AC187_c00859,Computer Funding,1973-1979,box 122 folder 11 
/repositories/4/archival_objects/1446248,AC187_c00861,COG Program,1972-1980,box 123 folder 1 
/repositories/4/archival_objects/1446249,AC187_c00862,SPUR Program,1972-1979,box 123 folder 2-3 
/repositories/4/archival_objects/1445925,AC187_c00863,Graduate Program,1974-1978,box 123 folder 4-5 
/repositories/4/archival_objects/1444900,AC187_c00864,Middle Income Student Assistance Act,1978-1979,box 123 folder 6 
/repositories/4/archival_objects/1444901,AC187_c00865,Military Procurement Bill,1972,box 123 folder 7 
/repositories/4/archival_objects/1444902,AC187_c00866,Music Performance and Copyright Law,1977-1981,box 123 folder 8 
/repositories/4/archival_objects/1444903,AC187_c00867,National Science Foundation Authorization Amendment,1975-1979,box 123 folder 9 
/repositories/4/archival_objects/1444904,AC187_c00868,Recombinant DNA Bill,1978,box 123 folder 10 
/repositories/4/archival_objects/1445926,AC187_c00870,1976-1984,1976-1984,box 123 folder 11 
/repositories/4/archival_objects/1445927,AC187_c00871,1985,1985,box 124 folder 1-2 
/repositories/4/archival_objects/1444906,AC187_c00872,Tuition Advance Fund,1978,box 124 folder 3 
/repositories/4/archival_objects/1444907,AC187_c00873,Tuition Tax Relief Act,1977-1981,box 124 folder 4 
/repositories/4/archival_objects/1442801,AC187_c00875,"Behrman, Helen and Howard T",1985,box 124 folder 5 
/repositories/4/archival_objects/1444908,AC187_c00877,1977-1974,1977-1978,box 124 folder 6 
/repositories/4/archival_objects/1445928,AC187_c00879,1977-1978,1977-1978,box 124 folder 7 
/repositories/4/archival_objects/1445929,AC187_c00880,A-C (by Name),1977-1978,box 124 folder 8 
/repositories/4/archival_objects/1445930,AC187_c00881,D-L (by Name),1977-1978,box 125 folder 1 
/repositories/4/archival_objects/1445931,AC187_c00882,M-Z (by Name),1977-1978,box 125 folder 2 
/repositories/4/archival_objects/1444910,AC187_c00883,Supreme Court Decision,1978,box 125 folder 3 
/repositories/4/archival_objects/1442803,AC187_c00884,"Chicago, University of",1984-1987,box 125 folder 4 
/repositories/4/archival_objects/1442804,AC187_c00885,Fa-Fo (by Name),1983-1988,box 125 folder 5 
/repositories/4/archival_objects/1442805,AC187_c00886,Fr-Fz (by Name),1983-1988,box 125 folder 6 
/repositories/4/archival_objects/1442806,AC187_c00887,G-Gz (by Name),1985-1988,box 125 folder 7 
/repositories/4/archival_objects/1444911,AC187_c00889,1982-1983,1982-1983,box 125 folder 8-9 
/repositories/4/archival_objects/1444912,AC187_c00890,1984-1985,1984-1985,box 126 folder 1 
/repositories/4/archival_objects/1444913,AC187_c00891,Hazardous/Toxic Substance Management,1983,box 126 folder 2 
/repositories/4/archival_objects/1442808,AC187_c00892,H-He (by Name),1985-1987,box 126 folder 3 
/repositories/4/archival_objects/1442809,AC187_c00893,"Health, Education, and Welfare (HEW), Department of",1972-1979,box 126 folder 4-5 
/repositories/4/archival_objects/1442810,AC187_c00894,Hi-Hz (by Name),1985-1987,box 126 folder 6 
/repositories/4/archival_objects/1442811,AC187_c00895,Hillel Foundation,1981-1987,box 126 folder 7 
/repositories/4/archival_objects/1442812,AC187_c00896,I-In (by Name),1985-1987,box 126 folder 8 
/repositories/4/archival_objects/1442813,AC187_c00897,In-Iz (by Name),1985-1987,box 126 folder 9 
/repositories/4/archival_objects/1442814,AC187_c00898,J (by Name),1985-1987,box 126 folder 10 
/repositories/4/archival_objects/1442815,AC187_c00899,Jewish Chautauqua Society,1977-1983,box 126 folder 11 
/repositories/4/archival_objects/1442816,AC187_c00900,K (by Name),1985-1987,box 126 folder 12 
/repositories/4/archival_objects/1442817,AC187_c00901,L-Le (by Name),1985-1987,box 126 folder 13 
/repositories/4/archival_objects/1442818,AC187_c00902,"Levin, Ephriam",1983-1986,box 127 folder 1 
/repositories/4/archival_objects/1442819,AC187_c00903,Li-Lz (by Name),1985,box 127 folder 2 
/repositories/4/archival_objects/1442820,AC187_c00904,Ma-Me (by Name),1985-1987,box 127 folder 3 
/repositories/4/archival_objects/1442821,AC187_c00905,Massachusetts Institute of Technology (MIT),1985,box 127 folder 4 
/repositories/4/archival_objects/1442822,AC187_c00906,"Mathematica, Inc",1977-1981,box 127 folder 5 
