blank,file_uri,uri
,http://findingaids.princeton.edu/folders/MC124/c01879.mets,/repositories/3/digital_objects/14961
,http://findingaids.princeton.edu/folders/MC124/c01880.mets,/repositories/3/digital_objects/14962
,http://findingaids.princeton.edu/folders/MC124/c01881.mets,/repositories/3/digital_objects/14963
,http://findingaids.princeton.edu/folders/MC124/c01882.mets,/repositories/3/digital_objects/14964
,http://findingaids.princeton.edu/folders/MC124/c01883.mets,/repositories/3/digital_objects/14965
,http://findingaids.princeton.edu/folders/MC124/c01884.mets,/repositories/3/digital_objects/14966
,http://findingaids.princeton.edu/folders/MC124/c01886.mets,/repositories/3/digital_objects/14967
,http://findingaids.princeton.edu/folders/MC124/c01887.mets,/repositories/3/digital_objects/14968
,http://findingaids.princeton.edu/folders/MC124/c01888.mets,/repositories/3/digital_objects/14969
,http://findingaids.princeton.edu/folders/MC124/c01889.mets,/repositories/3/digital_objects/14970
,http://findingaids.princeton.edu/folders/MC016/c10308.mets,/repositories/3/digital_objects/27402
,http://findingaids.princeton.edu/folders/MC081/c0526.mets,/repositories/3/digital_objects/42153
,http://findingaids.princeton.edu/folders/MC104.3/c00266.mets,/repositories/3/digital_objects/42452
,http://findingaids.princeton.edu/folders/MC104.3/c00267.mets,/repositories/3/digital_objects/42453
,http://findingaids.princeton.edu/folders/MC104.3/c00268.mets,/repositories/3/digital_objects/42454
,http://findingaids.princeton.edu/folders/MC104.3/c00269.mets,/repositories/3/digital_objects/42455
,http://findingaids.princeton.edu/folders/MC104.3/c00270.mets,/repositories/3/digital_objects/42456
,http://findingaids.princeton.edu/folders/MC104.3/c00272.mets,/repositories/3/digital_objects/42457
,http://findingaids.princeton.edu/folders/MC104.3/c00273.mets,/repositories/3/digital_objects/42458
,http://findingaids.princeton.edu/folders/MC104.3/c00274.mets,/repositories/3/digital_objects/42459
,http://findingaids.princeton.edu/folders/MC104.3/c00275.mets,/repositories/3/digital_objects/42460
,http://findingaids.princeton.edu/folders/MC104.3/c00276.mets,/repositories/3/digital_objects/42461
,http://findingaids.princeton.edu/folders/MC104.3/c00277.mets,/repositories/3/digital_objects/42462
,http://findingaids.princeton.edu/folders/MC104.3/c00278.mets,/repositories/3/digital_objects/42463
,http://findingaids.princeton.edu/folders/MC104.3/c00279.mets,/repositories/3/digital_objects/42464
,http://findingaids.princeton.edu/folders/MC104.3/c03241.mets,/repositories/3/digital_objects/42465
