blank,aos,repo,eadid,tc_type,tc_indicator,,string,location,profile,restriction,helper,ils_holding_id
,/repositories/3/archival_objects/405058,3,MC001.03.01,box,5719,,MC001.03.01_box_5719,/locations/23649,/container_profiles/3,Review,239,MC001.03.01_add239
,/repositories/3/archival_objects/405058,3,MC001.03.01,box,5720,,MC001.03.01_box_5720,/locations/23649,/container_profiles/3,Review,240,MC001.03.01_add240
,/repositories/3/archival_objects/520753,3,MC006,box,427,,MC006_box_427,/locations/23649,/container_profiles/3,Open,241,MC006_add241
,/repositories/3/archival_objects/528370,3,MC006,box,696,,MC006_box_696,/locations/23649,/container_profiles/3,Open,242,MC006_add242
,/repositories/3/archival_objects/528370,3,MC006,box,697,,MC006_box_697,/locations/23649,/container_profiles/3,Open,243,MC006_add243
,/repositories/3/archival_objects/528372,3,MC006,box,704,,MC006_box_704,/locations/23649,/container_profiles/3,Open,244,MC006_add244
,/repositories/3/archival_objects/528372,3,MC006,box,705,,MC006_box_705,/locations/23649,/container_profiles/3,Open,245,MC006_add245
,/repositories/3/archival_objects/528372,3,MC006,box,706,,MC006_box_706,/locations/23649,/container_profiles/3,Open,246,MC006_add246
,"/repositories/3/archival_objects/520994, /repositories/3/archival_objects/520995, /repositories/3/archival_objects/520996, /repositories/3/archival_objects/520997, /repositories/3/archival_objects/520998, /repositories/3/archival_objects/520999, /repositories/3/archival_objects/521000, /repositories/3/archival_objects/521001, /repositories/3/archival_objects/521002, /repositories/3/archival_objects/521003, /repositories/3/archival_objects/521004, /repositories/3/archival_objects/521005, /repositories/3/archival_objects/521006, /repositories/3/archival_objects/521007, /repositories/3/archival_objects/521008, /repositories/3/archival_objects/521009, /repositories/3/archival_objects/521010, /repositories/3/archival_objects/521011, /repositories/3/archival_objects/521012, /repositories/3/archival_objects/521013, /repositories/3/archival_objects/521014, /repositories/3/archival_objects/521015, /repositories/3/archival_objects/521016, /repositories/3/archival_objects/521017, /repositories/3/archival_objects/521018, /repositories/3/archival_objects/521019, /repositories/3/archival_objects/521020, /repositories/3/archival_objects/521021, /repositories/3/archival_objects/521022, /repositories/3/archival_objects/521023, /repositories/3/archival_objects/521024, /repositories/3/archival_objects/521025, /repositories/3/archival_objects/521026, /repositories/3/archival_objects/521027, /repositories/3/archival_objects/521028, /repositories/3/archival_objects/521029, /repositories/3/archival_objects/521030, /repositories/3/archival_objects/521031, /repositories/3/archival_objects/521032, /repositories/3/archival_objects/521033, /repositories/3/archival_objects/521034, /repositories/3/archival_objects/521035, /repositories/3/archival_objects/521036, /repositories/3/archival_objects/521037, /repositories/3/archival_objects/521038, /repositories/3/archival_objects/521039, /repositories/3/archival_objects/521040, /repositories/3/archival_objects/521041, /repositories/3/archival_objects/521042, /repositories/3/archival_objects/521043, /repositories/3/archival_objects/521044, /repositories/3/archival_objects/521045, /repositories/3/archival_objects/521046, /repositories/3/archival_objects/521047, /repositories/3/archival_objects/521048, /repositories/3/archival_objects/521049, /repositories/3/archival_objects/521050, /repositories/3/archival_objects/521051, /repositories/3/archival_objects/521052, /repositories/3/archival_objects/521053, /repositories/3/archival_objects/521054, /repositories/3/archival_objects/521055, /repositories/3/archival_objects/521056, /repositories/3/archival_objects/521057, /repositories/3/archival_objects/521058, /repositories/3/archival_objects/521059, /repositories/3/archival_objects/521060, /repositories/3/archival_objects/521061, /repositories/3/archival_objects/521062, /repositories/3/archival_objects/521063, /repositories/3/archival_objects/521064, /repositories/3/archival_objects/521065",3,MC006,box,720,,MC006_box_720,/locations/23649,/container_profiles/3,Open,247,MC006_add247
,"/repositories/3/archival_objects/520994, /repositories/3/archival_objects/520995, /repositories/3/archival_objects/520996, /repositories/3/archival_objects/520997, /repositories/3/archival_objects/520998, /repositories/3/archival_objects/520999, /repositories/3/archival_objects/521000, /repositories/3/archival_objects/521001, /repositories/3/archival_objects/521002, /repositories/3/archival_objects/521003, /repositories/3/archival_objects/521004, /repositories/3/archival_objects/521005, /repositories/3/archival_objects/521006, /repositories/3/archival_objects/521007, /repositories/3/archival_objects/521008, /repositories/3/archival_objects/521009, /repositories/3/archival_objects/521010, /repositories/3/archival_objects/521011, /repositories/3/archival_objects/521012, /repositories/3/archival_objects/521013, /repositories/3/archival_objects/521014, /repositories/3/archival_objects/521015, /repositories/3/archival_objects/521016, /repositories/3/archival_objects/521017, /repositories/3/archival_objects/521018, /repositories/3/archival_objects/521019, /repositories/3/archival_objects/521020, /repositories/3/archival_objects/521021, /repositories/3/archival_objects/521022, /repositories/3/archival_objects/521023, /repositories/3/archival_objects/521024, /repositories/3/archival_objects/521025, /repositories/3/archival_objects/521026, /repositories/3/archival_objects/521027, /repositories/3/archival_objects/521028, /repositories/3/archival_objects/521029, /repositories/3/archival_objects/521030, /repositories/3/archival_objects/521031, /repositories/3/archival_objects/521032, /repositories/3/archival_objects/521033, /repositories/3/archival_objects/521034, /repositories/3/archival_objects/521035, /repositories/3/archival_objects/521036, /repositories/3/archival_objects/521037, /repositories/3/archival_objects/521038, /repositories/3/archival_objects/521039, /repositories/3/archival_objects/521040, /repositories/3/archival_objects/521041, /repositories/3/archival_objects/521042, /repositories/3/archival_objects/521043, /repositories/3/archival_objects/521044, /repositories/3/archival_objects/521045, /repositories/3/archival_objects/521046, /repositories/3/archival_objects/521047, /repositories/3/archival_objects/521048, /repositories/3/archival_objects/521049, /repositories/3/archival_objects/521050, /repositories/3/archival_objects/521051, /repositories/3/archival_objects/521052, /repositories/3/archival_objects/521053, /repositories/3/archival_objects/521054, /repositories/3/archival_objects/521055, /repositories/3/archival_objects/521056, /repositories/3/archival_objects/521057, /repositories/3/archival_objects/521058, /repositories/3/archival_objects/521059, /repositories/3/archival_objects/521060, /repositories/3/archival_objects/521061, /repositories/3/archival_objects/521062, /repositories/3/archival_objects/521063, /repositories/3/archival_objects/521064, /repositories/3/archival_objects/521065",3,MC006,box,721,,MC006_box_721,/locations/23649,/container_profiles/3,Open,248,MC006_add248
